SampleName,Tag ID,Tag Color,Species,Timepoint,...6,Date,Collection Species,Location,Depth,Notes,File.Name,A.CT.mean,B.CT.mean,C.CT.mean,D.CT.mean,A.CT.sd,B.CT.sd,C.CT.sd,D.CT.sd,A.reps,B.reps,C.reps,D.reps,A.D,B.D,C.D,qpcrRun,Dominant,propD,logPropD,Reef,Latitude,Longitude
23NI,99,Green,Mcav,Initial,NA,2019-09-15T00:00:00Z,Mcav,EM1,25,NA,RK_NSF_SYM_Initials_2.csv,NaN,NaN,27.26628002166748,NaN,NA,NA,0.2203329344217352,NA,0,0,2,0,NaN,NaN,NaN,2,C,0,-7,Emerald,25 40.64 N,80 6.028 W
24NI,72,Green,Sint,Initial,NA,2019-09-15T00:00:00Z,Sbou,EM1,"NA",NA,RK_NSF_SYM_Initials_11.csv,33.55757223510742,NaN,26.13231834411621,38.28789138793945,0.0924128659189267,NA,6.797443727836989e-4,NA,2,0,2,1,79.63229069604311,NaN,595.0939285260231,11,C,0,-7,Emerald,25 40.64 N,80 6.028 W
25NI,78,Green,Mcav,Initial,NA,2019-09-15T00:00:00Z,Mcav,EM1,"NA",NA,RK_NSF_SYM_Initials_2.csv,NaN,NaN,23.991926040649414,NaN,NA,NA,0.19986102998823568,NA,0,0,2,0,NaN,NaN,NaN,2,C,0,-7,Emerald,25 40.64 N,80 6.028 W
26NI,77,Green,Past,Initial,NA,2019-09-15T00:00:00Z,Past,EM1,"NA",NA,RK_NSF_SYM_Initials_20.csv,31.61653791809082,NaN,NaN,NaN,0.1839301956006939,NA,NA,NA,2,0,0,0,NaN,NaN,NaN,20,A,0,-7,Emerald,25 40.64 N,80 6.028 W
27NI,71,Green,Ssid,Initial,NA,2019-09-15T00:00:00Z,Ssid,EM1,"NA",NA,RK_NSF_SYM_Initials_2.csv,NaN,NaN,24.50227626800537,31.290316581726074,NA,NA,0.6928874460233362,0.334651371973108,0,0,2,2,NaN,NaN,14.41441975936926,2,C,0.06487431999457363,-1.1879271813462156,Emerald,25 40.64 N,80 6.028 W
28NI,75,Green,Dlab,Initial,NA,2019-09-15T00:00:00Z,Dlab,EM1,"NA",NA,RK_NSF_SYM_Initials_10.csv,NaN,33.68560028076172,34.48639854431153,30.03299045562744,NA,0.5773565279340019,0.1282747763798762,0.028116331229011454,0,2,2,2,NaN,0.2385481950685281,0.005953659611055684,10,C,0.19260307836089446,-0.7153367758591177,Emerald,25 40.64 N,80 6.028 W
29NI,79,Green,Mcav,Initial,NA,2019-09-15T00:00:00Z,Mcav,EM1,"NA",NA,RK_NSF_SYM_Initials_3.csv,NaN,NaN,22.25983985900879,NaN,NA,NA,0.25175088117569605,NA,0,0,2,0,NaN,NaN,NaN,3,C,0,-7,Emerald,25 40.64 N,80 6.028 W
2NI,30,Green,Ofav,Initial,NA,2019-09-15T00:00:00Z,Ofav,EM1,25,NA,RK_NSF_SYM_Initials_11.csv,NaN,27.77067756652832,34.212200012207035,33.51082801818848,NA,0.16739784139120464,NA,0.6703439396918291,0,2,1,2,NaN,160.3536021568227,0.08021570603471234,11,B,0.0061975684870554095,-2.2077786653046503,Emerald,25 40.64 N,80 6.028 W
30NI,55,Green,Ofav,Initial,NA,2019-09-15T00:00:00Z,Ofav,EM3,22,Colony 62,RK_NSF_SYM_Initials_7.csv,NaN,33.65463066101074,30.71383270263672,36.11783981323242,NA,0.7795777814388477,0.17057267919583327,NA,0,2,2,1,NaN,16.543259992412363,5.522829752035591,7,C,0,-7,Emerald,25 40.725 N,80 5.845 W
31NI,24,Green,Dlab,Initial,NA,2019-09-15T00:00:00Z,Dlab,EM3,27,NA,RK_NSF_SYM_Initials_7.csv,NaN,NaN,34.487075653076175,29.326512336730957,NA,NA,NA,0.257573215416385,0,0,1,2,NaN,NaN,0.0036467758151105794,7,D,1,0,Emerald,25 40.725 N,80 5.845 W
32NI,81,Green,Mcav,Initial,NA,2019-09-15T00:00:00Z,Mcav,EM1,26,NA,RK_NSF_SYM_Initials_3.csv,NaN,NaN,23.447308387756348,NaN,NA,NA,0.1032226896250008,NA,0,0,2,0,NaN,NaN,NaN,3,C,0,-7,Emerald,25 40.64 N,80 6.028 W
33NI,11,Green,Ofav,Initial,NA,2019-09-15T00:00:00Z,Ofav,EM5,24,NA,RK_NSF_SYM_Initials_7.csv,37.70378576660156,33.799448013305664,NaN,29.35950756072998,NA,0.22637915272171402,NA,0.01747239751867623,1,2,0,2,0.009230882494129199,0.1382184439874491,NaN,7,B,0.12143402236853335,-0.9156596192174976,Emerald,25 40.641 N,80 5.843 W
34NI,88,Green,Past,Initial,NA,2019-09-15T00:00:00Z,Mmea,EM1,266,NA,RK_NSF_SYM_Initials_10.csv,31.621448387145996,NaN,NaN,37.22676467895508,0.40711697742879877,NA,NA,NA,2,0,0,1,146.04597545032232,NaN,NaN,10,A,0,-7,Emerald,25 40.64 N,80 6.028 W
35NI,15,Green,Ofav,Initial,NA,2019-09-15T00:00:00Z,Ofav,EM3,24,NA,RK_NSF_SYM_Initials_7.csv,NaN,35.968082427978516,NaN,27.520846366882324,NA,NA,NA,0.21847172959149413,0,1,0,2,NaN,0.008595077953069664,NaN,7,D,1,0,Emerald,25 40.725 N,80 5.845 W
